072e15b8baf4	1	agent-led-init-contract	claude-opus-5	simple
f1aa2beb51d0	1	agent-led-init-contract	claude-opus-5	candidate
8f6b69d4c400	1	agent-led-init-contract	claude-sonnet-5	simple
a1c5efbf1d06	1	agent-led-init-contract	claude-sonnet-5	candidate
59e5fdaadf03	1	agent-led-init-contract	gpt-5.6-luna	simple
5518fbe633f1	1	agent-led-init-contract	gpt-5.6-luna	candidate
2efa96570360	1	work-local-finish-boundary	claude-opus-5	simple
7b917fe521aa	1	work-local-finish-boundary	claude-opus-5	candidate
c17af2a30ac1	1	work-local-finish-boundary	claude-sonnet-5	simple
7a57e953ba80	1	work-local-finish-boundary	claude-sonnet-5	candidate
61f18284f3a6	1	work-local-finish-boundary	gpt-5.6-luna	simple
5da3c8fb6cb0	1	work-local-finish-boundary	gpt-5.6-luna	candidate
da78206e2f80	1	reconcile-unknown-obligation	claude-opus-5	simple
e03f03691ea2	1	reconcile-unknown-obligation	claude-opus-5	candidate
4275e7581710	1	reconcile-unknown-obligation	claude-sonnet-5	simple
b03b08ad7159	1	reconcile-unknown-obligation	claude-sonnet-5	candidate
1109fbb13624	1	reconcile-unknown-obligation	gpt-5.6-luna	simple
9e56c3d2c068	1	reconcile-unknown-obligation	gpt-5.6-luna	candidate
727c7aed4d7a	1	deep-audit-guide-first	claude-opus-5	simple
3dda013e2a13	1	deep-audit-guide-first	claude-opus-5	candidate
e389ca28caf5	1	deep-audit-guide-first	claude-sonnet-5	simple
0afb3277d9d6	1	deep-audit-guide-first	claude-sonnet-5	candidate
7f6007fe3034	1	deep-audit-guide-first	gpt-5.6-luna	simple
e4487580e588	1	deep-audit-guide-first	gpt-5.6-luna	candidate
