e4cab29cb0c4	1	proof-tautology	gpt-5.6-luna	none
a9a85f72f24a	1	proof-tautology	gpt-5.6-luna	simple
c337e6521f09	1	proof-tautology	gpt-5.6-luna	candidate
ec5eebcc24b1	1	proof-tautology	gpt-5.6-luna	simple-ponytail
b558b133032d	1	proof-tautology	gpt-5.6-luna	candidate-ponytail
17d314fc4532	1	proof-tautology	gpt-5.6-terra	none
1407f26b953e	1	proof-tautology	gpt-5.6-terra	simple
baa8e7265245	1	proof-tautology	gpt-5.6-terra	candidate
e5aead18f953	1	proof-tautology	gpt-5.6-terra	simple-ponytail
86b4d0c05f30	1	proof-tautology	gpt-5.6-terra	candidate-ponytail
b0bef9fc38ce	1	proof-refactor	gpt-5.6-luna	none
ca7cbcfe9172	1	proof-refactor	gpt-5.6-luna	simple
169df67901e3	1	proof-refactor	gpt-5.6-luna	candidate
615bdf79e19a	1	proof-refactor	gpt-5.6-luna	simple-ponytail
9b38f808c7dd	1	proof-refactor	gpt-5.6-luna	candidate-ponytail
abcf7dfe6c04	1	proof-refactor	gpt-5.6-terra	none
e5e823ccbf24	1	proof-refactor	gpt-5.6-terra	simple
5035e46eb3fb	1	proof-refactor	gpt-5.6-terra	candidate
26694eb597fb	1	proof-refactor	gpt-5.6-terra	simple-ponytail
6f388ca7a505	1	proof-refactor	gpt-5.6-terra	candidate-ponytail
77c292ecfdf8	1	proof-interaction-contract	gpt-5.6-luna	none
2b3a801db204	1	proof-interaction-contract	gpt-5.6-luna	simple
855135f24548	1	proof-interaction-contract	gpt-5.6-luna	candidate
2920b421199a	1	proof-interaction-contract	gpt-5.6-luna	simple-ponytail
75be0b85fc33	1	proof-interaction-contract	gpt-5.6-luna	candidate-ponytail
23a4f6f48439	1	proof-interaction-contract	gpt-5.6-terra	none
e995017515b7	1	proof-interaction-contract	gpt-5.6-terra	simple
34b1a339f375	1	proof-interaction-contract	gpt-5.6-terra	candidate
27279602185e	1	proof-interaction-contract	gpt-5.6-terra	simple-ponytail
bfcae80650e5	1	proof-interaction-contract	gpt-5.6-terra	candidate-ponytail
